Customer,Branch,Last_Order_Date,Frequency,Monetary,Recency,R_Score_Current,F_Score_Current,M_Score_Current,RFM_Score_Current,Segment_Name_Current
Luminar Glor Salon/Novi- Palembang,Palembang,10/18/2025,2,2678400,37,2,2,3,223,At Risk Customers
Lunox Beauty Bar,Jakarta,9/18/2025,8,17664000,67,1,5,5,155,At Risk Customers
Lusi Salon Samarinda - Balikpapan,Balikpapan,11/20/2025,11,16586000,4,5,5,5,555,Top Customers
Lyas Salon Perumnas ( Merry ) - Balikpapan,Balikpapan,11/4/2025,3,1142100,20,4,3,2,432,Lost Customers
M2 Salon- Medan,Balikpapan,10/28/2025,2,3408000,27,3,2,4,324,Lost Customers
Maharani Salon I - Jakarta,Jakarta,9/26/2025,3,9000000,59,1,3,4,134,At Risk Customers
Maia Salon- Jakarta,Balikpapan,9/29/2025,1,858600,56,1,1,2,112,Lost Customers
Maida Lee Salon- Surabaya,Balikpapan,11/20/2025,4,3712000,4,5,4,4,544,Top Customers
Marina Salon- Pekanbaru,Balikpapan,10/24/2025,2,240300,31,2,2,1,221,Lost Customers
Mariska Salon- Kupang,Kupang,10/25/2025,2,1144800,30,2,2,2,222,At Risk Customers
Marlyn Salon- Kupang,Balikpapan,10/28/2025,1,98100,27,3,1,1,311,Promising Customers
Master Dino- Manado,Balikpapan,10/31/2025,1,7800000,24,4,1,4,414,Lost Customers
Matahari Salon (Lama Pdgm148) - Padang,Padang,10/31/2025,1,588600,24,4,1,2,412,Potential Loyalists Customers
Mawar Salon I - Jakarta,Balikpapan,11/21/2025,14,28779000,3,5,5,5,555,Top Customers
Mega Salon - Padang,Balikpapan,10/15/2025,1,588600,40,2,1,2,212,Lost Customers
Mega Salon / Mega- Jakarta,Balikpapan,11/20/2025,30,108827000,4,5,5,5,555,Top Customers
Mei Hua Salon - Padang,Balikpapan,10/24/2025,1,556200,31,2,1,1,211,Lost Customers
Melinda Studio Salon- Jakarta,Jakarta,10/27/2025,3,4333500,28,3,3,4,334,Needs Attention Customers
Melly Salon I - Jakarta,Balikpapan,10/31/2025,6,5454000.04,24,4,4,4,444,Top Customers
Melody Beauty Salon- Manado,Balikpapan,10/22/2025,1,953999.99,33,2,1,2,212,Lost Customers
Mery Salon- Medan,Balikpapan,11/17/2025,4,3322800,7,4,4,4,444,Top Customers
Metha Salon- Medan,Medan,10/31/2025,1,225000.01,24,4,1,1,411,Potential Loyalists Customers
Mey Mey Salon/Imey- Jakarta,Balikpapan,11/20/2025,4,3792600,4,5,4,4,544,Top Customers
Mic Mec 2 Salon - Padang,Padang,10/29/2025,5,1449000.88,26,3,4,3,343,Needs Attention Customers
Michael And Sister Salon- Pekanbaru,Balikpapan,11/18/2025,8,9232000,6,5,5,5,555,Top Customers
Michika Salon- Jakarta,Balikpapan,11/9/2025,7,38745000,15,4,5,5,455,Top Customers
Mimi  - 1,Balikpapan,10/21/2025,1,449999.99,34,2,1,1,211,Lost Customers
Ming Salon / Sugiat- Jakarta,Balikpapan,11/3/2025,6,2951999.99,21,4,4,3,443,Loyal Customers
Mirror Salon/Ibu Dita- Pekanbaru,Balikpapan,11/21/2025,2,4860000,3,5,2,4,524,Lost Customers
Mitra Salon- Jakarta,Balikpapan,11/7/2025,3,2299799.98,17,4,3,3,433,Loyal Customers
Mizura Fumi Salon- Jakarta,Balikpapan,11/10/2025,15,101807999.9,14,4,5,5,455,Top Customers
Modern Salon- Medan,Balikpapan,10/31/2025,3,2116800,24,4,3,3,433,Loyal Customers
Modist Salon- Jakarta,Balikpapan,8/29/2025,1,174599.99,87,1,1,1,111,Lost Customers
Mooi Hair Studio- Jakarta,Jakarta,8/30/2025,2,2194200,86,1,2,3,123,At Risk Customers
Mozza Salon - Balikpapan,Balikpapan,11/20/2025,7,4929000.02,4,5,5,4,554,Top Customers
Mulyawati Salon/ Mulyawati I - Jakarta,Jakarta,10/9/2025,2,736199.99,46,1,2,2,122,At Risk Customers
Mustika Salon- Pekanbaru,Balikpapan,10/21/2025,1,294299.99,34,2,1,1,211,Lost Customers
Mutiara Salon /Ci Iyan- Jakarta,Balikpapan,11/11/2025,5,4356900,13,4,4,4,444,Top Customers
Mutiara Toko - Kupang,Balikpapan,10/31/2025,19,168202811.3,24,4,5,5,455,Top Customers
Mv Beauty Studio & Salon- Manado,Medan,10/17/2025,27,94500011.34,38,2,5,5,255,Needs Attention Customers
My Lora Beauty Studio,Jakarta,10/15/2025,2,882000,40,2,2,2,222,At Risk Customers
My Salon - Medan,Medan,11/14/2025,2,446400,10,4,2,1,421,Potential Loyalists Customers
My Salon Balikpapan Baru - Balikpapan,Balikpapan,10/31/2025,1,558900,24,4,1,1,411,Potential Loyalists Customers
N Ji Salon- Jakarta,Balikpapan,9/30/2025,1,225000.01,55,1,1,1,111,Lost Customers
Nailab Salon - Balikpapan,Balikpapan,11/4/2025,13,16809299.99,20,4,5,5,455,Top Customers
Namas Salon- Kupang,Balikpapan,10/27/2025,2,6058800,28,3,2,4,324,Lost Customers
Nanda Nandito Salon - Padang,Balikpapan,11/15/2025,4,1292401.2,9,4,4,3,443,Loyal Customers
Natta Salon- Jakarta,Balikpapan,11/22/2025,6,3116699.97,2,5,4,4,544,Top Customers
Necis Salon- Pekanbaru,Balikpapan,11/24/2025,5,5677200,0,5,4,4,544,Top Customers
Neo Family Salon- Jakarta,Balikpapan,11/3/2025,4,2330100,21,4,4,3,443,Loyal Customers
New Arjuna Toko- Kupang,Kupang,10/30/2025,8,45323520,25,3,5,5,355,Needs Attention Customers
New Queen Salon- Jakarta,Balikpapan,11/8/2025,11,6989399.97,16,4,5,4,454,Top Customers
New Trend Salon Suplier Kotamobagu- Manado,Balikpapan,10/30/2025,2,2224800,25,3,2,3,323,Lost Customers
Nikky Pebrina Salon/Kris- Jakarta,Balikpapan,10/7/2025,2,198000,48,1,2,1,121,Lost Customers
Niya Perawang Salon- Pekanbaru,Pekanbaru,10/21/2025,3,11156400,34,2,3,5,235,Needs Attention Customers
Nk Salon / Ibu Nuke- Jakarta,Balikpapan,10/28/2025,2,1036800,27,3,2,2,322,Promising Customers
Nova Auliyana,Balikpapan,10/23/2025,1,1252799.99,32,2,1,2,212,Lost Customers
Novi Yuliana,Jakarta,9/17/2025,3,9358200,68,1,3,5,135,At Risk Customers
Novita Salon- Jakarta,Balikpapan,11/13/2025,17,17300700.07,11,4,5,5,455,Top Customers
Nuria Salon/Ibu Nurliatu- Pekanbaru,Pekanbaru,10/21/2025,3,4155000,34,2,3,4,234,Needs Attention Customers
Nvi Beauty Studio - Balikpapan,Balikpapan,11/4/2025,6,4130100.01,20,4,4,4,444,Top Customers
Ocha Salon,Balikpapan,10/20/2025,1,1153799.99,35,2,1,2,212,Lost Customers
One Beauty Salon- Jakarta,Balikpapan,11/20/2025,15,53552000,4,5,5,5,555,Top Customers
Ongs Salon- Jakarta,Jakarta,9/23/2025,8,8224200.08,62,1,5,4,154,At Risk Customers
Otu Haircuts Barbershop- Jakarta,Balikpapan,10/9/2025,1,556200,46,1,1,1,111,Lost Customers
Pandi Sopandi,Jakarta,10/20/2025,4,4065300.03,35,2,4,4,244,Needs Attention Customers
Paris Salon - Ambon,Ambon,11/19/2025,1,240300,5,5,1,1,511,Potential Loyalists Customers
Penn House,Balikpapan,11/20/2025,5,9306000.01,4,5,4,5,545,Top Customers
Perfect Beauty- Banjarmasin,Banjarmasin,10/21/2025,3,15141000,34,2,3,5,235,Needs Attention Customers
Perfect Salon - Padang,Padang,10/23/2025,4,900001.44,32,2,4,2,242,At Risk Customers
Permata Salon- Ambon,Balikpapan,11/24/2025,4,3531599.96,0,5,4,4,544,Top Customers
Pink Salon/Gabby- Jakarta,Jakarta,9/27/2025,3,2249099.97,58,1,3,3,133,At Risk Customers
Pipit Salon- Jakarta,Balikpapan,11/14/2025,8,4612500,10,4,5,4,454,Top Customers
Pretty Salon- Medan,Balikpapan,11/19/2025,19,64369000,5,5,5,5,555,Top Customers
Princess Salon - Kapuas- Medan,Medan,10/31/2025,1,39500.06,24,4,1,1,411,Potential Loyalists Customers
Princess Salon I - Yogyakarta,Balikpapan,11/20/2025,6,10008000,4,5,4,5,545,Top Customers
Princess Salon Manado- Manado,Balikpapan,10/8/2025,2,441000,47,1,2,1,121,Lost Customers
Prita Salon- Pekanbaru,Pekanbaru,10/15/2025,2,1350000,40,2,2,3,223,At Risk Customers
Pt Mayindo Tritunggal (May May Salon),Balikpapan,9/11/2025,1,383399.99,74,1,1,1,111,Lost Customers
Qonacut Barber,Jakarta,10/31/2025,1,750599.99,24,4,1,2,412,Potential Loyalists Customers
Rabeca Salon- Pekanbaru,Pekanbaru,10/30/2025,8,41824819.12,25,3,5,5,355,Needs Attention Customers
Rahma Salon Cimalaka Sumedang,Jakarta,8/19/2025,3,904500,97,1,3,2,132,At Risk Customers
Rain Salon,Balikpapan,8/21/2025,1,189000,95,1,1,1,111,Lost Customers
Ratna Salon- Medan,Medan,10/31/2025,1,225000.01,24,4,1,1,411,Potential Loyalists Customers
Ratoe Salon I - Jakarta,Balikpapan,11/20/2025,4,2345400.01,4,5,4,3,543,Loyal Customers
Ratu Salon- Jakarta,Jakarta,10/10/2025,6,3992400.04,45,1,4,4,144,At Risk Customers
Rere Salon- Jakarta,Balikpapan,11/19/2025,16,11390400.01,5,5,5,5,555,Top Customers
Resty Salon- Jakarta,Balikpapan,9/24/2025,1,294299.99,61,1,1,1,111,Lost Customers
Richard Salon - Balikpapan,Balikpapan,11/14/2025,1,440100,10,4,1,1,411,Potential Loyalists Customers
Rika Next Generation Salon - Balikpapan,Balikpapan,10/31/2025,1,556200,24,4,1,1,411,Potential Loyalists Customers
Rilly Salon Batam- Pekanbaru,Balikpapan,11/18/2025,3,3465000,6,5,3,4,534,Loyal Customers
Rina Salon- Medan,Medan,10/24/2025,2,1870200.02,31,2,2,3,223,At Risk Customers
Rina Yusra Makeup & Beauty Salon - Padang,Balikpapan,10/29/2025,2,514800,26,3,2,1,321,Promising Customers
Rise Beauty- Medan,Balikpapan,11/12/2025,3,1471500.01,12,4,3,3,433,Loyal Customers
Rissa Salon- Jakarta,Balikpapan,10/31/2025,3,2925000,24,4,3,3,433,Loyal Customers
Ritz Salon- Jakarta,Balikpapan,11/10/2025,10,9011699.96,14,4,5,4,454,Top Customers
Rizal Hair Studio Salon- Jakarta,Jakarta,10/13/2025,9,22248000,42,2,5,5,255,Needs Attention Customers
Romi Salon/Abigail Stg- Pontianak,Balikpapan,11/19/2025,3,8046000,5,5,3,4,534,Loyal Customers
Roni Salon- Jakarta,Balikpapan,9/12/2025,1,3000000,73,1,1,4,114,Lost Customers
Rr Salon- Pekanbaru,Balikpapan,11/10/2025,4,3960002.77,14,4,4,4,444,Top Customers
Rudy Salon & Babershop - Padang,Balikpapan,11/15/2025,3,1130200,9,4,3,2,432,Lost Customers
Sal Sal Salon / Salim- Jakarta,Balikpapan,9/30/2025,1,3000000,55,1,1,4,114,Lost Customers
Salon Alletha Muslimah - Balikpapan,Balikpapan,10/31/2025,2,1310400,24,4,2,3,423,Lost Customers
Salon Beauty- Jakarta,Jakarta,10/17/2025,3,6996000,38,2,3,4,234,Needs Attention Customers
Salon Bg Billy- Medan,Medan,10/24/2025,5,2780998.65,31,2,4,3,243,Needs Attention Customers
Salon Eva Faiga Salon,Balikpapan,10/31/2025,2,2376000,24,4,2,3,423,Lost Customers
Salon Ferry Jamblang- Jakarta,Balikpapan,11/5/2025,4,2653200.03,19,4,4,3,443,Loyal Customers
Salon Gs Beauty Studio - Palembang,Palembang,10/4/2025,3,1112409.03,51,1,3,2,132,At Risk Customers
Salon Harman- Jakarta,Jakarta,10/9/2025,6,4817699.99,46,1,4,4,144,At Risk Customers
Salon Laris,Jakarta,11/24/2025,2,876600,0,5,2,2,522,Potential Loyalists Customers
Salon Lucky/Ibu Lucky - Balikpapan,Balikpapan,10/31/2025,1,1068000,24,4,1,2,412,Potential Loyalists Customers
Salon Luminous- Jakarta,Balikpapan,11/11/2025,11,13475700,13,4,5,5,455,Top Customers
Salon Miror-Miror,Jakarta,11/14/2025,2,534600,10,4,2,1,421,Potential Loyalists Customers
Salon Tya Beauty,Banjarmasin,11/24/2025,1,248400.01,0,5,1,1,511,Potential Loyalists Customers
Salon Woman Spa- Medan,Balikpapan,10/31/2025,3,25201.47,24,4,3,1,431,Lost Customers
Salsa Salon- Surabaya,Jawa Timur,11/21/2025,1,580000,3,5,1,2,512,Potential Loyalists Customers
San S Salon- Jakarta,Balikpapan,11/21/2025,18,53046000,3,5,5,5,555,Top Customers
Santi Salon Ii - Jakarta,Jakarta,10/20/2025,2,572400,35,2,2,2,222,At Risk Customers
Sari Salon- Medan,Medan,10/31/2025,2,487800,24,4,2,1,421,Potential Loyalists Customers
Sasa Salon- Jakarta,Balikpapan,11/4/2025,5,4522000,20,4,4,4,444,Top Customers
Savia Salon/Ba Wiwi- Jakarta,Jakarta,10/27/2025,7,6749999.95,28,3,5,4,354,Needs Attention Customers
"Seven Art, Salon- Jakarta",Balikpapan,9/2/2025,1,146700.01,83,1,1,1,111,Lost Customers
Seven Teen Salon- Jakarta,Balikpapan,9/8/2025,1,858600,77,1,1,2,112,Lost Customers
Sf Salon- Jakarta,Jakarta,9/13/2025,5,1957500,72,1,4,3,143,At Risk Customers
Shafira Salon- Jakarta,Balikpapan,11/6/2025,3,4530600,18,4,3,4,434,Loyal Customers
Shall Salon- Jakarta,Jakarta,10/22/2025,4,7071300,33,2,4,4,244,Needs Attention Customers
Shantty Salon- Jakarta,Jakarta,10/21/2025,4,14920000,34,2,4,5,245,Needs Attention Customers
Shelly Salon/ Christin- Medan,Balikpapan,10/23/2025,1,522000,32,2,1,1,211,Lost Customers
Sherlly Salon - Balikpapan,Balikpapan,11/20/2025,5,3928500.04,4,5,4,4,544,Top Customers
Sian-Sian Salon- Jakarta,Jakarta,10/8/2025,3,1621800.02,47,1,3,3,133,At Risk Customers
Silvia Salon- Pekanbaru,Balikpapan,11/7/2025,5,1944900.95,17,4,4,3,443,Loyal Customers
Sitimusa Beauty Salon,Balikpapan,11/22/2025,20,22419000.01,2,5,5,5,555,Top Customers
Sofi Salon Siaga - Balikpapan,Balikpapan,10/31/2025,2,2043000,24,4,2,3,423,Lost Customers
Sofia Salon - Ambon,Ambon,11/18/2025,2,351000,6,5,2,1,521,Potential Loyalists Customers
Sosi Rosma Salon- Medan,Balikpapan,10/25/2025,1,294299.99,30,2,1,1,211,Lost Customers
Spencer Salon- Surabaya,Balikpapan,11/21/2025,2,1350000,3,5,2,3,523,Lost Customers
Sr Salon & Spa,Jakarta,10/23/2025,3,1616400,32,2,3,3,233,Needs Attention Customers
Sri Salon- Jakarta,Jakarta,10/2/2025,10,27899000,53,1,5,5,155,At Risk Customers
St Laurent Salon- Manado,Balikpapan,10/21/2025,1,2430000,34,2,1,3,213,Lost Customers
Styleup Salon,Balikpapan,10/30/2025,3,543600,25,3,3,1,331,Lost Customers
Subag Beauty Salon - Padang,Balikpapan,10/23/2025,2,160199.88,32,2,2,1,221,Lost Customers
Sukim Salon- Medan,Medan,10/28/2025,5,5553016.3,27,3,4,4,344,Needs Attention Customers
Susan Salon- Medan,Balikpapan,11/13/2025,1,3434400.01,11,4,1,4,414,Lost Customers
"Tanjung Salon, Kudus- Semarang",Balikpapan,11/21/2025,5,2538000,3,5,4,3,543,Loyal Customers
Tarbeautybar Salon - Padang,Balikpapan,11/19/2025,2,1510200,5,5,2,3,523,Lost Customers
Tedi Salon - Balikpapan,Balikpapan,11/4/2025,1,405000.01,20,4,1,1,411,Potential Loyalists Customers
Tjong Calvin,Balikpapan,10/13/2025,1,294299.99,42,2,1,1,211,Lost Customers
Tofa Salon- Jakarta,Jakarta,11/19/2025,1,360000,5,5,1,1,511,Potential Loyalists Customers
Toko Harky- Jakarta,Jakarta,8/29/2025,8,41045452.8,87,1,5,5,155,At Risk Customers
Toko Mini Feri - Padang,Padang,10/29/2025,49,454439127.8,26,3,5,5,355,Needs Attention Customers
Tommy Salon- Jakarta,Balikpapan,11/24/2025,9,14464800.02,0,5,5,5,555,Top Customers
Trend Ciamis Salon- Jakarta,Balikpapan,11/20/2025,5,3751499.97,4,5,4,4,544,Top Customers
Trend Ciawi Salon- Jakarta,Balikpapan,11/22/2025,4,5294999.97,2,5,4,4,544,Top Customers
Tyu Salon/ Yudith- Jakarta,Jakarta,10/10/2025,16,58728000,45,1,5,5,155,At Risk Customers
Valentine Salon Ci Veni- Manado,Balikpapan,10/31/2025,9,18702900,24,4,5,5,455,Top Customers
"Vina Salon,Tegal- Jakarta",Balikpapan,11/4/2025,6,15651900.03,20,4,4,5,445,Top Customers
Vivi Salon Dan Spa- Medan,Balikpapan,11/20/2025,7,13588200,4,5,5,5,555,Top Customers
Vivi Salon- Medan,Medan,11/19/2025,1,240300,5,5,1,1,511,Potential Loyalists Customers
Wahono Widodo,Jakarta,9/17/2025,2,1530000,68,1,2,3,123,At Risk Customers
Waqyo Salon- Jakarta,Jakarta,9/30/2025,2,2077200,55,1,2,3,123,At Risk Customers
Wawa Salon- Jakarta,Balikpapan,11/10/2025,5,4226400.02,14,4,4,4,444,Top Customers
Wids Salon (Banteng)- Jakarta,Balikpapan,11/20/2025,4,1084499.99,4,5,4,2,542,Lost Customers
Win Salon I - Jakarta,Balikpapan,11/14/2025,62,510899000,10,4,5,5,455,Top Customers
Wira Salon- Jakarta,Jakarta,9/27/2025,2,3083400,58,1,2,4,124,At Risk Customers
Wisnu Salon,Balikpapan,10/23/2025,2,160199.88,32,2,2,1,221,Lost Customers
Yan Gress Salon- Jakarta,Jakarta,10/27/2025,8,11882500,28,3,5,5,355,Needs Attention Customers
Yanti Salon - Jakarta,Jakarta,11/19/2025,1,858600,5,5,1,2,512,Potential Loyalists Customers
Yenny Salon- Medan,Medan,11/3/2025,1,999000,21,4,1,2,412,Potential Loyalists Customers
Yohana Salon- Pekanbaru,Balikpapan,11/14/2025,5,4995001.26,10,4,4,4,444,Top Customers
Yoora Salon- Pekanbaru,Balikpapan,11/12/2025,1,2120000,12,4,1,3,413,Lost Customers
Yoshiko Salon/ Teh Rina- Jakarta,Jakarta,8/19/2025,2,1085400,97,1,2,2,122,At Risk Customers
You-Me Salon- Jakarta,Jakarta,10/15/2025,2,1252800.02,40,2,2,3,223,At Risk Customers
Yovela Salon (Ms. Tenny)- Jakarta,Jakarta,10/27/2025,6,10218600,28,3,4,5,345,Needs Attention Customers
Yr Salon- Medan,Medan,10/31/2025,1,1177201.36,24,4,1,2,412,Potential Loyalists Customers
Yuan Salon- Kupang,Balikpapan,10/27/2025,1,999000,28,3,1,2,312,Promising Customers
Yufi Beauty Salon - Lubuk Pakam,Medan,10/28/2025,5,13431999.99,27,3,4,5,345,Needs Attention Customers
Yulia Salon Grogot - Balikpapan,Balikpapan,10/31/2025,2,810000,24,4,2,2,422,Potential Loyalists Customers
Yulli Salon Tomohon- Manado,Balikpapan,10/10/2025,1,449999.99,45,1,1,1,111,Lost Customers
Yuni Salon I- Kupang,Kupang,10/27/2025,3,1822500,28,3,3,3,333,Needs Attention Customers
Yuni Salon- Kupang,Kupang,10/27/2025,3,1854007.57,28,3,3,3,333,Needs Attention Customers
Yustine Salon- Jakarta,Balikpapan,11/19/2025,2,1438200,5,5,2,3,523,Lost Customers
Z Barbershop- Jakarta,Jakarta,10/24/2025,14,56582999.9,31,2,5,5,255,Needs Attention Customers
Zadz Pro Salon - Balikpapan,Balikpapan,11/20/2025,6,3679199.99,4,5,4,4,544,Top Customers
Zahra Salon,Balikpapan,10/31/2025,2,2376000,24,4,2,3,423,Lost Customers
Zee Salon,Balikpapan,10/31/2025,6,1698299.99,24,4,4,3,443,Loyal Customers
Zelia Salon- Kupang,Balikpapan,10/30/2025,2,360001.34,25,3,2,1,321,Promising Customers
Zenth Salon- Jakarta,Balikpapan,11/19/2025,3,1008000,5,5,3,2,532,Lost Customers
Zora Salon- Medan,Balikpapan,11/14/2025,4,11181600,10,4,4,5,445,Top Customers
